CONDITION_CODE_ID,CODE_TEXT,DETAIL_CODE_TXT,ROW_STATUS_IND
d5555292-eb27-2723-e053-0100007f945f,TWO SECONDARY ACC DRIVE GEARS,,I
d5555292-eb28-2723-e053-0100007f945f,LEAKING AT CASE HALVES,,I
d5555292-eb29-2723-e053-0100007f945f,FAILED OUTPUT SHAFT STUD SIDEPLAY INSPECTION,,I
d5555292-eb2a-2723-e053-0100007f945f,CORK SEAL LEAKING,,I
d5555292-eb2b-2723-e053-0100007f945f,STATIC MAST SCORED,,I
d5555292-eb2c-2723-e053-0100007f945f,AIRCRAFT MISHAP,,I
d5555292-eb2d-2723-e053-0100007f945f,HOUSING LEAK,,I
d5555292-eb2e-2723-e053-0100007f945f,DUPLEX BALL BEARING FAILURE,,I
d5555292-eb2f-2723-e053-0100007f945f,ROTOR BRAKE SHAFT SEAL LEAKING,,I
d5555292-eb30-2723-e053-0100007f945f,INPUT PINION GEAR TOOTH PITTING,,I
d5555292-eb31-2723-e053-0100007f945f,BATTLE DAMAGE,,I
d5555292-eb32-2723-e053-0100007f945f,OIL LEAK - INPUT,,I
d5555292-eb33-2723-e053-0100007f945f,Burping,,I
d5555292-eb34-2723-e053-0100007f945f,TEST SPECIMEN,,I
d5555292-eb35-2723-e053-0100007f945f,LIGHTNING STRIKE,,I
d5555292-eb36-2723-e053-0100007f945f,Failed Field Functional Test,,I
d5555292-eb37-2723-e053-0100007f945f,TIME CHANGE - IMPELLER,,I
d5555292-eb38-2723-e053-0100007f945f,Inlet Blockage,,I
d5555292-eb39-2723-e053-0100007f945f,EXCESSIVE WEAR ON FAN SHAFT SPLINES,,I
d5555292-eb3a-2723-e053-0100007f945f,TIME CHANGE-2ND STAGE TURBINE DISK,,I
d5555292-eb3b-2723-e053-0100007f945f,TIME CHANGE-1ST STAGE DISK,,I
d5555292-eb3c-2723-e053-0100007f945f,OIL LEAK - MAIN SEAL,,I
d5555292-eb3d-2723-e053-0100007f945f,AOAP - Oil Sample Abnormal,,I
d5555292-eb3e-2723-e053-0100007f945f,CONTROLLED EXCHANGE,,I
d5555292-eb3f-2723-e053-0100007f945f,REMOVED FOR SCHEDULED MAINTENANCE,,I
d5555292-eb40-2723-e053-0100007f945f,Wrong Part or Configuration,,I
d5555292-eb41-2723-e053-0100007f945f,WRONG CONFIGURATION - SPECO,,I
d5555292-eb42-2723-e053-0100007f945f,OVERSPEED,,I
d5555292-eb43-2723-e053-0100007f945f,Coastdown Time Too Brief,,I
d5555292-eb44-2723-e053-0100007f945f,FUEL LEAK - OIL COOLER,,I
d5555292-eb45-2723-e053-0100007f945f,#3 BEARING FAILURE IN PROCESS,,I
d5555292-eb46-2723-e053-0100007f945f,#3 BEARING FAILURE,,I
d5555292-eb47-2723-e053-0100007f945f,Coated-No Corrosion,,I
d5555292-eb48-2723-e053-0100007f945f,Not Coated-No Corrosion,,I
d5555292-eb49-2723-e053-0100007f945f,Not Coated-Corrosion,,I
d5555292-eb4a-2723-e053-0100007f945f,Coated-Corrosion,,I
d5555292-eb4b-2723-e053-0100007f945f,FORWARD/AFT BEARING LIFE LIMIT,,I
d5555292-eb4c-2723-e053-0100007f945f,HIGH TIME PLANETARY CARRIER,,I
d5555292-eb4d-2723-e053-0100007f945f,HIGH TIME MAIN MODULE HOUSING,,I
d5555292-eb4e-2723-e053-0100007f945f,OIL LEAK - HYD PUMP MATING SURFACE,,I
d5555292-eb4f-2723-e053-0100007f945f,GENERATOR STUDS DAMAGED,,I
d5555292-eb50-2723-e053-0100007f945f,HIGH TIME - DOWEL PINS,,I
d5555292-eb51-2723-e053-0100007f945f,ELONGATED OIL FILTER PIN,,I
d5555292-eb52-2723-e053-0100007f945f,Contamination,,A
d5555292-eb53-2723-e053-0100007f945f,Dented,,I
d5555292-eb54-2723-e053-0100007f945f,Gouges/Gouged,,I
d5555292-eb55-2723-e053-0100007f945f,MESSAGE - SOF/ASAM,,I
d5555292-eb56-2723-e053-0100007f945f,Dirty,,I
d5555292-eb57-2723-e053-0100007f945f,DROPPED,,I
d5555292-eb58-2723-e053-0100007f945f,Coated With Metal,,I
d5555292-eb59-2723-e053-0100007f945f,Spalling,,I
d5555292-eb5a-2723-e053-0100007f945f,Cracks/Cracked,,I
d5555292-eb5b-2723-e053-0100007f945f,Missing Part/Piece,,I
d5555292-eb5c-2723-e053-0100007f945f,Fractured,,I
d5555292-eb5d-2723-e053-0100007f945f,Oxidation,,I
d5555292-eb5e-2723-e053-0100007f945f,Carbon Build-up,,A
d5555292-eb5f-2723-e053-0100007f945f,Other,,I
d5555292-eb60-2723-e053-0100007f945f,Thread Damage,,I
d5555292-eb61-2723-e053-0100007f945f,Lack of Lubrication,,I
d5555292-eb62-2723-e053-0100007f945f,Missing Felt Plug,,I
d5555292-eb63-2723-e053-0100007f945f,Grooved/Grooves,,I
d5555292-eb64-2723-e053-0100007f945f,Excessive Play,,I
d5555292-eb65-2723-e053-0100007f945f,Inadequate Preservation,,I
d5555292-eb66-2723-e053-0100007f945f,Bearing Failure in Progress,,I
d5555292-eb67-2723-e053-0100007f945f,Chipped/Nicked,,I
d5555292-eb68-2723-e053-0100007f945f,Failed Torque Repeatability Check,,I
d5555292-eb69-2723-e053-0100007f945f,Coking,,I
d5555292-eb6a-2723-e053-0100007f945f,OIL LEAK - THERMISTOR,,I
d5555292-eb6b-2723-e053-0100007f945f,Loose,,I
d5555292-eb6c-2723-e053-0100007f945f,Fretting,,I
d5555292-eb6d-2723-e053-0100007f945f,OIL LEAK - #2 GEN SEAL,,I
d5555292-eb6e-2723-e053-0100007f945f,OIL LEAK-#1 GEN SEAL,,I
d5555292-eb6f-2723-e053-0100007f945f,OIL LEAK - QUILL SHAFT SEAL,,I
d5555292-eb70-2723-e053-0100007f945f,Rubs/Rubbed,,I
d5555292-eb71-2723-e053-0100007f945f,OIL LEAK - AGB - AXIS B,,I
d5555292-eb72-2723-e053-0100007f945f,Delaminated,,I
d5555292-eb73-2723-e053-0100007f945f,Clipped,,I
d5555292-eb74-2723-e053-0100007f945f,Seal Damage,,I
d5555292-eb75-2723-e053-0100007f945f,Burns/Burned,,I
d5555292-eb76-2723-e053-0100007f945f,Flatness Unacceptable,,I
d5555292-eb77-2723-e053-0100007f945f,Buckled/Buckling,,I
d5555292-eb78-2723-e053-0100007f945f,Scored/Scratched,,I
d5555292-eb79-2723-e053-0100007f945f,Wear,,I
d5555292-eb7a-2723-e053-0100007f945f,Failed Torque Differential Check,,I
d5555292-eb7b-2723-e053-0100007f945f,SEIZED,,I
d5555292-eb7c-2723-e053-0100007f945f,Cracks,,I
d5555292-eb7d-2723-e053-0100007f945f,BROKEN INTERRUPTER TAB,,I
d5555292-eb7e-2723-e053-0100007f945f,Damaged Coating,,I
d5555292-eb7f-2723-e053-0100007f945f,Binding/Locked,,I
d5555292-eb80-2723-e053-0100007f945f,Leaking Fuel,,I
d5555292-eb81-2723-e053-0100007f945f,Noisy,,I
d5555292-eb82-2723-e053-0100007f945f,Improper Installation,,I
d5555292-eb83-2723-e053-0100007f945f,OIL LEAK - DRAIN,,I
d5555292-eb84-2723-e053-0100007f945f,Oil Temperature Incorrect,,I
d5555292-eb85-2723-e053-0100007f945f,FOD - Foreign Object Damage,,A
d5555292-eb86-2723-e053-0100007f945f,Wrong Part or Configuration,,A
d5555292-eb87-2723-e053-0100007f945f,Noisy,,A
d5555292-eb88-2723-e053-0100007f945f,Delaminated,,A
d5555292-eb89-2723-e053-0100007f945f,Broken Stud(s),,A
d5555292-eb8a-2723-e053-0100007f945f,Burping,,A
d5555292-eb8b-2723-e053-0100007f945f,Coastdown Time Too Brief,,A
d5555292-eb8c-2723-e053-0100007f945f,Excessive Play,,A
d5555292-eb8d-2723-e053-0100007f945f,Failed Field Functional Test,,A
d5555292-eb8e-2723-e053-0100007f945f,Failed Torque Differential Check,,A
d5555292-eb8f-2723-e053-0100007f945f,Failed Torque Repeatability Check,,A
d5555292-eb90-2723-e053-0100007f945f,High Vibration - Diagnostics,,A
d5555292-eb91-2723-e053-0100007f945f,Improper Installation,,A
d5555292-eb92-2723-e053-0100007f945f,Inadequate Preservation,,A
d5555292-eb93-2723-e053-0100007f945f,Inlet Blockage,,A
d5555292-eb94-2723-e053-0100007f945f,Lack of Lubrication,,A
d5555292-eb95-2723-e053-0100007f945f,Leaking Air,,A
d5555292-eb96-2723-e053-0100007f945f,Leaking at Case Halves,,A
d5555292-eb97-2723-e053-0100007f945f,Missing Felt Plug,,A
d5555292-eb98-2723-e053-0100007f945f,N2 Sensor Failure,,I
d5555292-eb99-2723-e053-0100007f945f,Oil Temperature Incorrect,,A
d5555292-eb9a-2723-e053-0100007f945f,Seal Damage,,A
d5555292-eb9b-2723-e053-0100007f945f,Adhesive Squeeze Out,,I
d5555292-eb9c-2723-e053-0100007f945f,Bent/Twisted/Rolled Over,,I
d5555292-eb9d-2723-e053-0100007f945f,Bond Surface Damaged,,I
d5555292-eb9e-2723-e053-0100007f945f,Burrs,,I
d5555292-eb9f-2723-e053-0100007f945f,Carbon Build-up,,I
d5555292-eba0-2723-e053-0100007f945f,Chaffed,,I
d5555292-eba1-2723-e053-0100007f945f,Coated With Glass,,I
d5555292-eba2-2723-e053-0100007f945f,Damaged Studs/Inserts,,I
d5555292-eba3-2723-e053-0100007f945f,Damaged Thread Holes,,I
